Image_url,title,ref,description,url
https://www.quera.es/media/catalog/product/cache/ae7efe67959a6ca09b085105026c8db3/a/5/a50s19a94_1.jpg,"
QUERA ANILLO DE ORO BLANCO CON DIAMANTES ","
A50-S19A:94 ","
Sé tu misma con la colección de Quera donde los protagonistas son los diamantes. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 2.79gr., con 1 diamante blanco talla brillante (0.19ct aprox) y 8 diamantes blancos talla brillante (0.17ct aprox).",https://www.quera.es/es/pere-quera-1887-anillo-de-oro-blanco-con-diamantes-a50-s19a-94
https://www.quera.es/media/catalog/product/cache/5daf542baadf58b9746fc06ac4bf60aa/3/5/357812-2.jpg,"
QUERA ANILLO DE ORO BLANCO CON DIAMANTES ","
357812 ","
Las joyas de Quera quieren ser tu mejor aliado. Piezas únicas que desprenden elegancia con un toque intimista para realzar tu personalidad. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 2.32gr., con 11 diamantes blancos talla brillante (0.165ct total).",https://www.quera.es/es/media-alianza-oro-blanco-18-kt-brillantes-blancos-357812
https://www.quera.es/media/catalog/product/cache/5daf542baadf58b9746fc06ac4bf60aa/4/4/449812.jpg,"
QUERA ANILLO DE ORO BLANCO CON DIAMANTES ","
449812 ","
Las joyas de Quera quieren ser tu mejor aliado. Piezas que desprenden elegancia con un toque intimista para realzar tu personalidad. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 2.92gr., con un diamante central blanco talla brillante de 0.25ct y 10 diamantes blancos talla brillante (0.14ct total).",https://www.quera.es/es/anillo-oro-blanco-18kt-1-diamante-blanco-talla-brillante-central-con-un-peso-total-de-0-25ct-y-10-diamantes-blancos-talla-brillante-con-un-peso-total-de-0-14ct-449812
https://www.quera.es/media/catalog/product/cache/5daf542baadf58b9746fc06ac4bf60aa/7/7/776912.jpg,"
QUERA ANILLO DE ORO BLANCO CON TOPACIOS AZULES Y DIAMANTES ","
776912 ","
Las joyas de QUERA son toda una declaración de elegancia con sus toques azules combinados con el oro blanco. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 3 gr., con 3 topacios azules y 2 diamantes blancos talla brillante G/VS (0.02ct total).",https://www.quera.es/es/anillo-oro-blanco-18kt-que-pesa-3-00gr-2-diamantes-blancos-talla-brillante-con-un-peso-total-de-0-02ct-calidad-g-vs-3-topacios-azules-776912
https://www.quera.es/media/catalog/product/cache/5daf542baadf58b9746fc06ac4bf60aa/4/0/409012.jpg,"
QUERA ANILLO DE ORO BLANCO CON UN ZAFIRO AZUL Y DIAMANTES ","
409012 ","
Las joyas de QUERA son toda una declaración de elegancia con sus toques azules combinados con el oro blanco. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 2.33gr., con un zafiro azul de 0.55ct y 12 diamantes blancos talla brillante (0.25ct total).",https://www.quera.es/es/anillo-oro-blanco-18kt-que-pesa-2-33gr-12-diamantes-blancos-talla-brillante-con-un-peso-total-de-0-25ct-calidad-g-vs-1-zafiro-azul-con-un-peso-total-de-0-55ct-409012
https://www.quera.es/media/catalog/product/cache/5daf542baadf58b9746fc06ac4bf60aa/4/3/433212.jpg,"
QUERA ANILLO DE ORO BLANCO CON UN TOPACIO AZUL Y DIAMANTES ","
433212 ","
Las joyas de QUERA son toda una declaración de elegancia con sus toques azules combinados con el oro blanco. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 3.62gr., con un topacio azul de 1ct, y 24 diamantes blancos talla brillante (0.22ct total).",https://www.quera.es/es/anillo-oro-blanco-18kt-24-diamantes-blancos-talla-brillante-1-topacio-azul-433212
https://www.quera.es/media/catalog/product/cache/5daf542baadf58b9746fc06ac4bf60aa/4/3/436712.jpg,"
QUERA ANILLO DE ORO BLANCO CON DIAMANTES ","
436712 ","
Los diamantes son para siempre, como las joyas de QUERA. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 2.27gr., con 1 diamante central blanco talla brillante de 0.1ct y 24 diamantes blancos talla brillante (0.13ct total).",https://www.quera.es/es/anillo-oro-blanco-brillantes-blancos-436712
https://www.quera.es/media/catalog/product/cache/5daf542baadf58b9746fc06ac4bf60aa/5/4/546712.jpg,"
QUERA ANILLO DE ORO BLANCO CON DIAMANTES ","
546712 ","
Los diamantes son para siempre, como las joyas de QUERA. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 2.41gr., con 1 diamante central blanco talla brillante de 0.12ct y 16 diamantes blancos talla brillante (0.13ct total).",https://www.quera.es/es/anillo-oro-blanco-18kt-que-pesa-2-41gr-1-diamante-central-blanco-talla-brillante-con-un-peso-de-0-12-ct-y-16-diamantes-blancos-talla-brillante-con-un-peso-total-de-0-13-ct-546712
https://www.quera.es/media/catalog/product/cache/5daf542baadf58b9746fc06ac4bf60aa/6/5/653412.jpg,"
QUERA ANILLO DE ORO BLANCO CON DIAMANTES ","
653412 ","
Los diseños de QUERA están pensados para combinarlos con tu estilo y con la mejor calidad. Piezas que desprenden elegancia con un toque intimista para realzar tu personalidad. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 1.79gr., con 1 diamante blanco talla baguette de 0.05ct y 50 diamantes blancos talla brillante G/VS (0.15ct total).",https://www.quera.es/es/anillo-oro-blanco-18k-que-pesa-1-79-gr-1-diamante-blanco-talla-baguette-con-un-peso-de-0-05-ct-50-brillantes-con-un-peso-total-de-0-15-ct-calidad-g-vs-653412
https://www.quera.es/media/catalog/product/cache/5daf542baadf58b9746fc06ac4bf60aa/4/0/409212.jpg,"
QUERA ANILLO DE ORO BLANCO CON UNA ESMERALDA Y DIAMANTES ","
409212 ","
La esmeralda es una de las piedras más deseadas, Su verde intenso enamora en las creaciones de QUERA. Anillo de oro blanco de 18kt, con un peso aprox. del oro de 2.35gr., con 1 esmeralda de 0.38ct de 6x4mm, y 12 diamantes blancos talla brillante G/VS (0.25ct total).",https://www.quera.es/es/anillo-oro-blanco-18kt-que-pesa-2-35gr-12-diamantes-blancos-talla-brillante-con-un-peso-total-de-0-25ct-calidad-g-vs-1-esmeralda-que-pesa-0-38ct-6-4mm-409212
